Data Report;;;;;
File created on:2020-08-18 15:54:00;;;;;
;;;;;
Device Information;;;;;
Device Model;RC-4HC;Logging Interval;300;Start Time;10/08/2020 11:02
Total Space;16000;Press Button ;Disable;Temperature Unit;°C
Storage Mode;N/A;Alarm Tone;Disable;;
Button Tone;Disable;Logging interval shortened in alarm;N/A;;
Trip Description;;;;;
Serial Number;V59;;;;
Trip Description;RC-4HC Data Logger;;;;
Alarm Settings;Alarm Status;;;;
H1:60,0°C;Normal;;;;
Ideal Zone;;;;;
L1:-30,0°C;Normal;;;;
Above:90,0%;Normal;;;;
Ideal Zone;;;;;
Below:20,0%;Normal;;;;
Summary;;;;;
Data Points;2363;;Mean Kinetic Temperature (MKT);13,4;
First Reading;10/08/2020 11:02;;Last Reading;18/08/2020 15:52;
Maximum(Temperature);19,4°C;;Minimum(Temperature);9,6°C;
Average(Temperature);13,2°C;;Recorded Period;8D 4H 50M 0S;
First Alarm(Temperature);N/A;;;;
Maximum(Humidity);57,10%;;Minimum(Humidity);42,10%;
Average(Humidity);51,00%;;;;
First Alarm(Humidity);N/A;;;;
;;;;;
192;11/08/2020 2:57;12,2;48,4;;
193;11/08/2020 3:02;12,2;48,4;;
194;11/08/2020 3:07;12,1;48,4;;
195;11/08/2020 3:12;12,1;48,4;;
196;11/08/2020 3:17;12,1;48,4;;
197;11/08/2020 3:22;12;48,4;;
198;11/08/2020 3:27;12;48,4;;
199;11/08/2020 3:32;12;48,4;;
200;11/08/2020 3:37;12;48,3;;
201;11/08/2020 3:42;12;48,3;;
202;11/08/2020 3:47;12;48,3;;
203;11/08/2020 3:52;11,9;48,3;;
204;11/08/2020 3:57;11,9;48,3;;
205;11/08/2020 4:02;11,9;48,3;;
206;11/08/2020 4:07;11,8;48,3;;
207;11/08/2020 4:12;11,8;48,3;;
208;11/08/2020 4:17;11,8;48,3;;
209;11/08/2020 4:22;11,8;48,3;;
210;11/08/2020 4:27;11,7;47,8;;
211;11/08/2020 4:32;11,7;47,8;;
212;11/08/2020 4:37;11,7;47,8;;
213;11/08/2020 4:42;11,7;48,3;;
214;11/08/2020 4:47;11,6;47,8;;
215;11/08/2020 4:52;11,6;48,3;;
216;11/08/2020 4:57;11,6;48,3;;
217;11/08/2020 5:02;11,6;48,3;;
218;11/08/2020 5:07;11,6;47,8;;
219;11/08/2020 5:12;11,5;48,3;;
220;11/08/2020 5:17;11,5;47,8;;
221;11/08/2020 5:22;11,5;47,8;;
222;11/08/2020 5:27;11,5;47,8;;
223;11/08/2020 5:32;11,4;47,8;;
224;11/08/2020 5:37;11,4;47,8;;
225;11/08/2020 5:42;11,4;47,8;;
226;11/08/2020 5:47;11,4;47,8;;
227;11/08/2020 5:52;11,4;47,8;;
228;11/08/2020 5:57;11,3;47,8;;
229;11/08/2020 6:02;11,3;47,8;;
230;11/08/2020 6:07;11,3;47,8;;
231;11/08/2020 6:12;11,3;47,8;;
232;11/08/2020 6:17;11,3;47,8;;
233;11/08/2020 6:22;11,2;47,8;;
234;11/08/2020 6:27;11,2;47,8;;
235;11/08/2020 6:32;11,2;47,8;;
236;11/08/2020 6:37;11,2;47,7;;
237;11/08/2020 6:42;11,2;47,7;;
238;11/08/2020 6:47;11,2;47,7;;
239;11/08/2020 6:52;11,2;47,7;;
240;11/08/2020 6:57;11,2;47,7;;
241;11/08/2020 7:02;11,2;47,7;;
242;11/08/2020 7:07;11,1;48,2;;
243;11/08/2020 7:12;11,2;48,2;;
244;11/08/2020 7:17;11,4;48,3;;
245;11/08/2020 7:22;11,5;47,8;;
246;11/08/2020 7:27;11,7;47,8;;
247;11/08/2020 7:32;11,8;47,8;;
248;11/08/2020 7:37;11,9;46,8;;
249;11/08/2020 7:42;11,9;46,8;;
250;11/08/2020 7:47;11,9;46,3;;
251;11/08/2020 7:52;11,8;46,8;;
252;11/08/2020 7:57;11,7;46,8;;
253;11/08/2020 8:02;11,7;46,8;;
254;11/08/2020 8:07;11,8;46,8;;
255;11/08/2020 8:12;11,8;46,8;;
256;11/08/2020 8:17;11,8;46,8;;
257;11/08/2020 8:22;11,9;46,8;;
258;11/08/2020 8:27;11,9;46,8;;
259;11/08/2020 8:32;12;46,9;;
260;11/08/2020 8:37;12;46,9;;
261;11/08/2020 8:42;12;46,9;;
262;11/08/2020 8:47;12;46,9;;
263;11/08/2020 8:52;12;47,3;;
264;11/08/2020 8:57;12;47,4;;
265;11/08/2020 9:02;12;47,3;;
266;11/08/2020 9:07;12;47,8;;
267;11/08/2020 9:12;12,1;47,8;;
268;11/08/2020 9:17;12,2;47,9;;
269;11/08/2020 9:22;12,3;47,9;;
270;11/08/2020 9:27;12,3;47,9;;
271;11/08/2020 9:32;12,4;47,9;;
272;11/08/2020 9:37;12,4;47,9;;
273;11/08/2020 9:42;12,4;47,9;;
274;11/08/2020 9:47;12,4;47,9;;
275;11/08/2020 9:52;12,4;48,4;;
276;11/08/2020 9:57;12,4;48,4;;
277;11/08/2020 10:02;12,5;48,4;;
278;11/08/2020 10:07;12,6;48,4;;
279;11/08/2020 10:12;12,7;48,9;;
280;11/08/2020 10:17;12,7;48,9;;
281;11/08/2020 10:22;12,8;48,9;;
282;11/08/2020 10:27;12,9;48,4;;
283;11/08/2020 10:32;13;48,4;;
284;11/08/2020 10:37;13;48,5;;
285;11/08/2020 10:42;13,1;48,5;;
286;11/08/2020 10:47;13,1;48,5;;
287;11/08/2020 10:52;13,1;48,5;;
288;11/08/2020 10:57;13,2;48,5;;
289;11/08/2020 11:02;13,2;48,5;;
290;11/08/2020 11:07;13,3;48,5;;
291;11/08/2020 11:12;13,3;48,5;;
292;11/08/2020 11:17;13,4;48,5;;
293;11/08/2020 11:22;13,4;48,5;;
294;11/08/2020 11:27;13,4;48;;
295;11/08/2020 11:32;13,4;48;;
296;11/08/2020 11:37;13,5;48;;
297;11/08/2020 11:42;13,5;48;;
298;11/08/2020 11:47;13,5;48;;
