RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger-V-351;;
Number;7184200193;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2551;;
Temperature Maximum;24,5°C;;
Temperature Minimum;14,5°C;;
Temperature Average;18°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;62,1%RH;;
Humidity Minimum;38,5%RH;;
Humidity Average;53,8%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-25 15:30:06;;
End Time;2022-05-04 12:00:06;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
527;2022-04-27 11:20:06;18;60,7
528;2022-04-27 11:25:06;18;60,7
529;2022-04-27 11:30:06;18,1;60,7
530;2022-04-27 11:35:06;18,2;60,7
531;2022-04-27 11:40:06;18,3;60,7
532;2022-04-27 11:45:06;18,4;60,3
533;2022-04-27 11:50:06;18,5;60,3
534;2022-04-27 11:55:06;18,5;60,3
535;2022-04-27 12:00:06;18,6;59,8
536;2022-04-27 12:05:06;18,6;59,9
537;2022-04-27 12:10:06;18,6;59,9
538;2022-04-27 12:15:06;18,6;59,9
539;2022-04-27 12:20:06;18,6;59,4
540;2022-04-27 12:25:06;18,6;59,9
541;2022-04-27 12:30:06;18,6;59,9
542;2022-04-27 12:35:06;18,5;59,8
543;2022-04-27 12:40:06;18,5;59,8
544;2022-04-27 12:45:06;18,4;59,8
545;2022-04-27 12:50:06;18,4;59,8
546;2022-04-27 12:55:06;18,4;59,8
547;2022-04-27 13:00:06;18,3;59,8
548;2022-04-27 13:05:06;18,3;60,3
549;2022-04-27 13:10:06;18,3;60,3
550;2022-04-27 13:15:06;18,3;60,3
551;2022-04-27 13:20:06;18,3;60,3
552;2022-04-27 13:25:06;18,4;60,3
553;2022-04-27 13:30:06;18,3;60,3
