RC-4HC Temperature+Humidity Data Logger;;;;;
User Information;RC-4HC Data Logger;;;;
Number;V63;;;;
Interval    ;0:5:0 H:M:S;;;;
Delay Time;0,0 H;;;;
Data Sum;2758;;;;
Temperature Maximum;25,6°C;;;;
Temperature Minimum;14,8°C;;;;
Temperature Average;18°C;;;;
Temperature Alarm Upper Limit;60,0°C;;;;
Temperature Alarm Lower Limit;-30,0°C;;;;
Humidity Maximum;99,9%RH;;;;
Humidity Minimum;2,8%RH;;;;
Humidity Average;40,5%RH;;;;
Humidity Alarm Upper Limit;90%RH;;;;
Humidity Alarm Lower Limit;20%RH;;;;
Start Time;2022-04-24 21:53:47;;;;
End Time;2022-05-04 11:38:47;;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;;
Temperature Unit;°C;;;;
Number;Time;Temperature°C;Humidity%RH;;
347;2022-04-26 02:43:47;20,58;61,0;;
348;2022-04-26 02:48:47;20,58;61,4;;
349;2022-04-26 02:53:47;20,58;61,4;;
350;2022-04-26 02:58:47;20,58;61,4;;
351;2022-04-26 03:03:47;20,58;61,4;;
352;2022-04-26 03:08:47;20,58;61,9;;
353;2022-04-26 03:13:47;20,58;61,9;;
354;2022-04-26 03:18:47;20,58;61,9;;
355;2022-04-26 03:23:47;20,58;61,9;;
356;2022-04-26 03:28:47;20,58;61,9;;
357;2022-04-26 03:33:47;20,58;62,4;;
358;2022-04-26 03:38:47;20,58;62,4;;
359;2022-04-26 03:43:47;20,58;62,4;;
360;2022-04-26 03:48:47;20,58;62,4;;
361;2022-04-26 03:53:47;20,58;62,4;;
362;2022-04-26 03:58:47;20,58;62,3;;
363;2022-04-26 04:03:47;20,58;62,8;;
364;2022-04-26 04:08:47;20,58;62,8;;
365;2022-04-26 04:13:47;20,58;62,8;;
366;2022-04-26 04:18:47;20,58;63,3;;
367;2022-04-26 04:23:47;20,58;63,2;;
368;2022-04-26 04:28:47;20,58;63,7;;
369;2022-04-26 04:33:47;20,58;63,7;;
370;2022-04-26 04:38:47;20,48;63,7;;
371;2022-04-26 04:43:47;20,48;63,7;;
372;2022-04-26 04:48:47;20,48;63,7;;
373;2022-04-26 04:53:47;20,48;63,3;;
374;2022-04-26 04:58:47;20,48;63,2;;
375;2022-04-26 05:03:47;20,48;63,3;;
376;2022-04-26 05:08:47;20,48;63,3;;
377;2022-04-26 05:13:47;20,48;63,3;;
378;2022-04-26 05:18:47;20,48;63,3;;
379;2022-04-26 05:23:47;20,48;63,2;;
380;2022-04-26 05:28:47;20,48;63,7;;
381;2022-04-26 05:33:47;20,48;63,7;;
382;2022-04-26 05:38:47;20,48;63,7;;
383;2022-04-26 05:43:47;20,48;63,7;;
384;2022-04-26 05:48:47;20,48;63,7;;
385;2022-04-26 05:53:47;20,48;63,7;;
386;2022-04-26 05:58:47;20,48;63,7;;
387;2022-04-26 06:03:47;20,48;63,7;;
388;2022-04-26 06:08:47;20,48;63,7;;
389;2022-04-26 06:13:47;20,48;63,7;;
390;2022-04-26 06:18:47;20,48;63,7;;
391;2022-04-26 06:23:47;20,48;63,7;;
392;2022-04-26 06:28:47;20,48;63,7;;
393;2022-04-26 06:33:47;20,48;63,7;;
394;2022-04-26 06:38:47;20,48;63,7;;
395;2022-04-26 06:43:47;20,48;64,2;;
396;2022-04-26 06:48:47;20,48;64,1;;
397;2022-04-26 06:53:47;20,48;64,1;;
398;2022-04-26 06:58:47;20,48;64,1;;
399;2022-04-26 07:03:47;20,48;64,1;;
400;2022-04-26 07:08:47;20,48;64,1;;
401;2022-04-26 07:13:47;20,48;64,1;;
402;2022-04-26 07:18:47;20,48;64,1;;
403;2022-04-26 07:23:47;20,48;64,1;;
404;2022-04-26 07:28:47;20,48;64,6;;
405;2022-04-26 07:33:47;20,48;64,6;;
406;2022-04-26 07:38:47;20,38;64,6;;
407;2022-04-26 07:43:47;20,38;64,6;;
