RC-4HC Temperature+Humidity Data Logger;;;
User Information;V321;;
Number;00V321;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;1905-10-26 00:00:00;;
Temperature Maximum;26°C;;
Temperature Minimum;19.8°C;;
Temperature Average;21.3°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;49.1%RH;;
Humidity Minimum;35.1%RH;;
Humidity Average;45.6%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-03-03 12:46:49;;
End Time;2022-03-10 21:51:49;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1721;2022-03-09 12:06:49;20.9;46.8
1722;2022-03-09 12:11:49;20.9;46.8
1723;2022-03-09 12:16:49;20.9;46.8
1724;2022-03-09 12:21:49;21;46.7
1725;2022-03-09 12:26:49;21;46.7
1726;2022-03-09 12:31:49;21;46.7
1727;2022-03-09 12:36:49;21.1;46.6
1728;2022-03-09 12:41:49;21.1;46.6
1729;2022-03-09 12:46:49;21.2;46.6
1730;2022-03-09 12:51:49;21.2;46.4
1731;2022-03-09 12:56:49;21.2;46
1732;2022-03-09 13:01:49;21.1;45.6
1733;2022-03-09 13:06:49;21.1;45.4
1734;2022-03-09 13:11:49;21.1;45.2
1735;2022-03-09 13:16:49;21;45
1736;2022-03-09 13:21:49;21;44.9
1737;2022-03-09 13:26:49;21.1;44.8
1738;2022-03-09 13:31:49;21;44.5
1739;2022-03-09 13:36:49;21;44.4
1740;2022-03-09 13:41:49;21;44.1
1741;2022-03-09 13:46:49;21;43.9
1742;2022-03-09 13:51:49;21;44.1
1743;2022-03-09 13:56:49;21;44.5
1744;2022-03-09 14:01:49;21.1;44.9
1745;2022-03-09 14:06:49;21.1;44.8
1746;2022-03-09 14:11:49;21.2;44.8
1747;2022-03-09 14:16:49;21.2;44.6
1748;2022-03-09 14:21:49;21.2;44.7
1749;2022-03-09 14:26:49;21.2;44.3
1750;2022-03-09 14:31:49;21.1;43.9
1751;2022-03-09 14:36:49;21.1;43.6
1752;2022-03-09 14:41:49;21;43.4
1753;2022-03-09 14:46:49;21;43.1
1754;2022-03-09 14:51:49;21;42.9
1755;2022-03-09 14:56:49;21;42.9
1756;2022-03-09 15:01:49;21.1;42.8
1757;2022-03-09 15:06:49;21.1;42.7
1758;2022-03-09 15:11:49;21.2;42.6
1759;2022-03-09 15:16:49;21.2;42.4
1760;2022-03-09 15:21:49;21.2;42.3
1761;2022-03-09 15:26:49;21.2;42.1
1762;2022-03-09 15:31:49;21.2;42
1763;2022-03-09 15:36:49;21.3;41.9
1764;2022-03-09 15:41:49;21.3;41.8
1765;2022-03-09 15:46:49;21.3;41.6
1766;2022-03-09 15:51:49;21.3;41.5
1767;2022-03-09 15:56:49;21.3;41.4
1768;2022-03-09 16:01:49;21.3;41.2
1769;2022-03-09 16:06:49;21.4;41.2
1770;2022-03-09 16:11:49;21.4;41.2
1771;2022-03-09 16:16:49;21.4;41.2
1772;2022-03-09 16:21:49;21.3;41.2
1773;2022-03-09 16:26:49;21.3;41.2
1774;2022-03-09 16:31:49;21.2;41.3
1775;2022-03-09 16:36:49;21.2;41.2
1776;2022-03-09 16:41:49;21.1;41.2
1777;2022-03-09 16:46:49;21;41.1
1778;2022-03-09 16:51:49;21;41.1
1779;2022-03-09 16:56:49;20.9;41
1780;2022-03-09 17:01:49;20.9;41.1
1781;2022-03-09 17:06:49;20.9;41.1
1782;2022-03-09 17:11:49;20.9;41
1783;2022-03-09 17:16:49;20.9;41
1784;2022-03-09 17:21:49;20.9;41.1
1785;2022-03-09 17:26:49;21;41.1
1786;2022-03-09 17:31:49;21.2;41.1
1787;2022-03-09 17:36:49;21.2;41.1
1788;2022-03-09 17:41:49;21.3;41.1
1789;2022-03-09 17:46:49;21.4;41.2
1790;2022-03-09 17:51:49;21.4;41.3
1791;2022-03-09 17:56:49;21.4;41.4
1792;2022-03-09 18:01:49;21.5;41.5
1793;2022-03-09 18:06:49;21.5;41.6
1794;2022-03-09 18:11:49;21.5;41.7
1795;2022-03-09 18:16:49;21.5;41.8
1796;2022-03-09 18:21:49;21.5;41.8
1797;2022-03-09 18:26:49;21.5;41.9
1798;2022-03-09 18:31:49;21.5;42
1799;2022-03-09 18:36:49;21.5;42
1800;2022-03-09 18:41:49;21.5;42.1
1801;2022-03-09 18:46:49;21.5;42.2
1802;2022-03-09 18:51:49;21.5;42.2
1803;2022-03-09 18:56:49;21.5;42.3
1804;2022-03-09 19:01:49;21.5;42.3
1805;2022-03-09 19:06:49;21.5;42.4
1806;2022-03-09 19:11:49;21.5;42.4
1807;2022-03-09 19:16:49;21.5;42.5
1808;2022-03-09 19:21:49;21.5;42.5
1809;2022-03-09 19:26:49;21.5;42.6
1810;2022-03-09 19:31:49;21.5;42.6
1811;2022-03-09 19:36:49;21.5;42.7
1812;2022-03-09 19:41:49;21.5;42.7
1813;2022-03-09 19:46:49;21.5;42.8
1814;2022-03-09 19:51:49;21.5;42.8
1815;2022-03-09 19:56:49;21.5;42.9
1816;2022-03-09 20:01:49;21.5;43
1817;2022-03-09 20:06:49;21.5;43
1818;2022-03-09 20:11:49;21.5;43.1
1819;2022-03-09 20:16:49;21.5;43.1
1820;2022-03-09 20:21:49;21.5;43.2
1821;2022-03-09 20:26:49;21.4;43.2
1822;2022-03-09 20:31:49;21.4;43.3
1823;2022-03-09 20:36:49;21.4;43.3
1824;2022-03-09 20:41:49;21.4;43.4
1825;2022-03-09 20:46:49;21.4;43.4
1826;2022-03-09 20:51:49;21.4;43.5
1827;2022-03-09 20:56:49;21.4;43.5
1828;2022-03-09 21:01:49;21.4;43.6
1829;2022-03-09 21:06:49;21.3;43.7
1830;2022-03-09 21:11:49;21.3;43.7
1831;2022-03-09 21:16:49;21.3;43.8
1832;2022-03-09 21:21:49;21.3;43.8
1833;2022-03-09 21:26:49;21.3;43.9
1834;2022-03-09 21:31:49;21.3;44
1835;2022-03-09 21:36:49;21.2;44
1836;2022-03-09 21:41:49;21.2;44.1
1837;2022-03-09 21:46:49;21.2;44.1
1838;2022-03-09 21:51:49;21.2;44.2
1839;2022-03-09 21:56:49;21.2;44.2
1840;2022-03-09 22:01:49;21.2;44.3
1841;2022-03-09 22:06:49;21.1;44.3
1842;2022-03-09 22:11:49;21.1;44.3
1843;2022-03-09 22:16:49;21.1;44.4
1844;2022-03-09 22:21:49;21.1;44.4
1845;2022-03-09 22:26:49;21.1;44.5
1846;2022-03-09 22:31:49;21;44.5
1847;2022-03-09 22:36:49;21;44.6
1848;2022-03-09 22:41:49;21;44.6
1849;2022-03-09 22:46:49;21;44.7
1850;2022-03-09 22:51:49;21;44.7
1851;2022-03-09 22:56:49;21;44.8
1852;2022-03-09 23:01:49;20.9;44.8
1853;2022-03-09 23:06:49;20.9;44.8
1854;2022-03-09 23:11:49;20.9;44.9
1855;2022-03-09 23:16:49;20.9;44.9
1856;2022-03-09 23:21:49;20.9;45
1857;2022-03-09 23:26:49;20.9;45
1858;2022-03-09 23:31:49;20.9;45
1859;2022-03-09 23:36:49;20.9;45.1
1860;2022-03-09 23:41:49;20.9;45.1
1861;2022-03-09 23:46:49;20.8;45.1
1862;2022-03-09 23:51:49;20.8;45.2
1863;2022-03-09 23:56:49;20.8;45.2
1864;2022-03-10 00:01:49;20.8;45.2
1865;2022-03-10 00:06:49;20.8;45.3
1866;2022-03-10 00:11:49;20.8;45.3
1867;2022-03-10 00:16:49;20.8;45.3
1868;2022-03-10 00:21:49;20.8;45.4
1869;2022-03-10 00:26:49;20.8;45.4
1870;2022-03-10 00:31:49;20.8;45.4
1871;2022-03-10 00:36:49;20.8;45.4
1872;2022-03-10 00:41:49;20.7;45.5
1873;2022-03-10 00:46:49;20.7;45.5
1874;2022-03-10 00:51:49;20.7;45.5
1875;2022-03-10 00:56:49;20.7;45.6
1876;2022-03-10 01:01:49;20.7;45.6
1877;2022-03-10 01:06:49;20.7;45.6
1878;2022-03-10 01:11:49;20.7;45.7
1879;2022-03-10 01:16:49;20.6;45.7
1880;2022-03-10 01:21:49;20.6;45.7
1881;2022-03-10 01:26:49;20.6;45.8
1882;2022-03-10 01:31:49;20.6;45.8
1883;2022-03-10 01:36:49;20.6;45.8
1884;2022-03-10 01:41:49;20.6;45.9
1885;2022-03-10 01:46:49;20.6;45.9
1886;2022-03-10 01:51:49;20.6;45.9
1887;2022-03-10 01:56:49;20.5;45.9
1888;2022-03-10 02:01:49;20.5;45.9
1889;2022-03-10 02:06:49;20.5;46
1890;2022-03-10 02:11:49;20.5;46
1891;2022-03-10 02:16:49;20.5;46
1892;2022-03-10 02:21:49;20.5;46
1893;2022-03-10 02:26:49;20.5;46.1
1894;2022-03-10 02:31:49;20.5;46.1
1895;2022-03-10 02:36:49;20.5;46.1
1896;2022-03-10 02:41:49;20.5;46.1
1897;2022-03-10 02:46:49;20.4;46.1
1898;2022-03-10 02:51:49;20.4;46.2
1899;2022-03-10 02:56:49;20.4;46.2
1900;2022-03-10 03:01:49;20.4;46.2
1901;2022-03-10 03:06:49;20.4;46.2
1902;2022-03-10 03:11:49;20.4;46.3
1903;2022-03-10 03:16:49;20.4;46.3
1904;2022-03-10 03:21:49;20.4;46.4
1905;2022-03-10 03:26:49;20.4;46.4
1906;2022-03-10 03:31:49;20.4;46.4
1907;2022-03-10 03:36:49;20.4;46.4
1908;2022-03-10 03:41:49;20.3;46.4
1909;2022-03-10 03:46:49;20.3;46.5
1910;2022-03-10 03:51:49;20.3;46.5
1911;2022-03-10 03:56:49;20.3;46.5
1912;2022-03-10 04:01:49;20.3;46.6
1913;2022-03-10 04:06:49;20.3;46.6
1914;2022-03-10 04:11:49;20.3;46.6
1915;2022-03-10 04:16:49;20.3;46.7
1916;2022-03-10 04:21:49;20.3;46.7
1917;2022-03-10 04:26:49;20.3;46.7
1918;2022-03-10 04:31:49;20.3;46.7
1919;2022-03-10 04:36:49;20.3;46.8
1920;2022-03-10 04:41:49;20.3;46.8
1921;2022-03-10 04:46:49;20.3;46.9
1922;2022-03-10 04:51:49;20.2;46.9
1923;2022-03-10 04:56:49;20.2;46.9
1924;2022-03-10 05:01:49;20.2;47
1925;2022-03-10 05:06:49;20.2;47
1926;2022-03-10 05:11:49;20.2;47
1927;2022-03-10 05:16:49;20.2;47
1928;2022-03-10 05:21:49;20.2;47.1
1929;2022-03-10 05:26:49;20.2;47.1
1930;2022-03-10 05:31:49;20.2;47.1
1931;2022-03-10 05:36:49;20.2;47.1
1932;2022-03-10 05:41:49;20.2;47.2
1933;2022-03-10 05:46:49;20.2;47.2
1934;2022-03-10 05:51:49;20.2;47.2
1935;2022-03-10 05:56:49;20.1;47.2
1936;2022-03-10 06:01:49;20.1;47.3
1937;2022-03-10 06:06:49;20.1;47.3
1938;2022-03-10 06:11:49;20.1;47.3
1939;2022-03-10 06:16:49;20.1;47.3
1940;2022-03-10 06:21:49;20.1;47.4
1941;2022-03-10 06:26:49;20.1;47.4
1942;2022-03-10 06:31:49;20.1;47.4
1943;2022-03-10 06:36:49;20.1;47.4
1944;2022-03-10 06:41:49;20.1;47.4
1945;2022-03-10 06:46:49;20.1;47.5
1946;2022-03-10 06:51:49;20;47.5
1947;2022-03-10 06:56:49;20;47.5
1948;2022-03-10 07:01:49;20;47.5
1949;2022-03-10 07:06:49;20;47.5
1950;2022-03-10 07:11:49;20;47.6
1951;2022-03-10 07:16:49;20;47.6
1952;2022-03-10 07:21:49;20;47.6
1953;2022-03-10 07:26:49;20;47.6
1954;2022-03-10 07:31:49;20;47.7
1955;2022-03-10 07:36:49;20;47.7
1956;2022-03-10 07:41:49;20;47.7
1957;2022-03-10 07:46:49;20;47.7
1958;2022-03-10 07:51:49;20;47.7
1959;2022-03-10 07:56:49;19.9;47.8
1960;2022-03-10 08:01:49;19.9;47.8
1961;2022-03-10 08:06:49;19.9;47.8
1962;2022-03-10 08:11:49;19.9;47.8
1963;2022-03-10 08:16:49;19.9;47.8
1964;2022-03-10 08:21:49;19.9;47.9
1965;2022-03-10 08:26:49;19.9;47.9
1966;2022-03-10 08:31:49;19.9;47.9
1967;2022-03-10 08:36:49;19.9;47.9
1968;2022-03-10 08:41:49;19.9;47.9
1969;2022-03-10 08:46:49;20;47.8
1970;2022-03-10 08:51:49;20;47.7
1971;2022-03-10 08:56:49;20;47.7
1972;2022-03-10 09:01:49;20;47.6
1973;2022-03-10 09:06:49;20.1;47.5
1974;2022-03-10 09:11:49;20.1;47.4
1975;2022-03-10 09:16:49;20.1;47.4
1976;2022-03-10 09:21:49;20.1;47.3
1977;2022-03-10 09:26:49;20.2;47.3
1978;2022-03-10 09:31:49;20.2;47.2
1979;2022-03-10 09:36:49;20.3;47.1
1980;2022-03-10 09:41:49;20.3;47.1
1981;2022-03-10 09:46:49;20.3;47.1
1982;2022-03-10 09:51:49;20.3;47.1
1983;2022-03-10 09:56:49;20.4;47
1984;2022-03-10 10:01:49;20.4;47
1985;2022-03-10 10:06:49;20.4;47
1986;2022-03-10 10:11:49;20.5;46.8
1987;2022-03-10 10:16:49;20.6;46.8
1988;2022-03-10 10:21:49;20.6;46.7
1989;2022-03-10 10:26:49;20.7;46.6
1990;2022-03-10 10:31:49;20.8;46.5
1991;2022-03-10 10:36:49;20.8;46.4
1992;2022-03-10 10:41:49;20.9;46.3
1993;2022-03-10 10:46:49;20.9;46.3
1994;2022-03-10 10:51:49;20.9;46.2
1995;2022-03-10 10:56:49;21;46.1
1996;2022-03-10 11:01:49;21;46.1
1997;2022-03-10 11:06:49;21;46
1998;2022-03-10 11:11:49;21.1;46
1999;2022-03-10 11:16:49;21.1;45.9
2000;2022-03-10 11:21:49;21.2;45.9
2001;2022-03-10 11:26:49;21.2;45.9
2002;2022-03-10 11:31:49;21.3;45.9
2003;2022-03-10 11:36:49;21.4;45.9
2004;2022-03-10 11:41:49;21.4;45.9
2005;2022-03-10 11:46:49;21.5;45.8
2006;2022-03-10 11:51:49;21.5;45.9
2007;2022-03-10 11:56:49;21.5;45.9
2008;2022-03-10 12:01:49;21.6;45.9
2009;2022-03-10 12:06:49;21.7;45.9
2010;2022-03-10 12:11:49;21.7;45.7
2011;2022-03-10 12:16:49;21.6;45.5
2012;2022-03-10 12:21:49;21.5;45.4
2013;2022-03-10 12:26:49;21.5;45.2
2014;2022-03-10 12:31:49;21.4;45.1
2015;2022-03-10 12:36:49;21.4;44.9
2016;2022-03-10 12:41:49;21.4;44.8
2017;2022-03-10 12:46:49;21.4;44.7
2018;2022-03-10 12:51:49;21.4;44.6
2019;2022-03-10 12:56:49;21.4;44.3
2020;2022-03-10 13:01:49;21.4;44.1
2021;2022-03-10 13:06:49;21.3;44
2022;2022-03-10 13:11:49;21.3;43.9
2023;2022-03-10 13:16:49;21.4;44.5
2024;2022-03-10 13:21:49;21.5;44.8
2025;2022-03-10 13:26:49;21.4;44.3
2026;2022-03-10 13:31:49;21.4;43.9
2027;2022-03-10 13:36:49;21.4;43.5
2028;2022-03-10 13:41:49;21.4;43.2
2029;2022-03-10 13:46:49;21.3;43
2030;2022-03-10 13:51:49;21.3;42.8
2031;2022-03-10 13:56:49;21.3;42.6
2032;2022-03-10 14:01:49;21.3;42.5
2033;2022-03-10 14:06:49;21.3;42.4
2034;2022-03-10 14:11:49;21.3;42.3
2035;2022-03-10 14:16:49;21.3;42.3
2036;2022-03-10 14:21:49;21.4;42.3
2037;2022-03-10 14:26:49;21.4;42.1
2038;2022-03-10 14:31:49;21.4;41.9
2039;2022-03-10 14:36:49;21.4;41.8
2040;2022-03-10 14:41:49;21.4;41.7
2041;2022-03-10 14:46:49;21.4;41.5
2042;2022-03-10 14:51:49;21.4;41.3
2043;2022-03-10 14:56:49;21.4;41.2
2044;2022-03-10 15:00:00;21.4;41.2
2045;2022-03-10 15:06:49;21.5;41.1
2046;2022-03-10 15:11:49;21.5;41
2047;2022-03-10 15:16:49;21.5;40.8
2048;2022-03-10 15:21:49;21.5;40.7
2049;2022-03-10 15:26:49;21.5;40.6
2050;2022-03-10 15:31:49;21.6;40.5
2051;2022-03-10 15:36:49;21.6;40.3
2052;2022-03-10 15:41:49;21.6;40.3
2053;2022-03-10 15:46:49;21.6;40.2
2054;2022-03-10 15:51:49;21.6;40.2
2055;2022-03-10 15:56:49;21.7;40.1
2056;2022-03-10 16:01:49;22.7;42.1
2057;2022-03-10 16:06:49;24.8;40.2
2058;2022-03-10 16:11:49;25.7;38.2
2059;2022-03-10 16:16:49;26;37
2060;2022-03-10 16:21:49;24.9;35.1
2061;2022-03-10 16:26:49;23.6;37.6
2062;2022-03-10 16:31:49;23.3;39.1
2063;2022-03-10 16:36:49;23.2;40.4
2064;2022-03-10 16:41:49;23.2;41.5
2065;2022-03-10 16:46:49;23.3;41.8
2066;2022-03-10 16:51:49;23.6;41.5
2067;2022-03-10 16:56:49;23.9;41.4
2068;2022-03-10 17:01:49;24.2;39.9
2069;2022-03-10 17:06:49;24.6;38.6
2070;2022-03-10 17:11:49;24.7;38
2071;2022-03-10 17:16:49;24.9;37.4
2072;2022-03-10 17:21:49;25.1;37.2
2073;2022-03-10 17:26:49;25.2;36.8
2074;2022-03-10 17:31:49;25.2;36.4
2075;2022-03-10 17:36:49;25.2;36.2
2076;2022-03-10 17:41:49;24.9;37.2
2077;2022-03-10 17:46:49;24.7;37.4
2078;2022-03-10 17:51:49;24.6;37.5
2079;2022-03-10 17:56:49;24.5;37.7
2080;2022-03-10 18:01:49;24.4;37.8
2081;2022-03-10 18:06:49;24.3;37.9
2082;2022-03-10 18:11:49;24.2;38
2083;2022-03-10 18:16:49;24.1;38.1
2084;2022-03-10 18:21:49;24;38.2
2085;2022-03-10 18:26:49;24;38.3
2086;2022-03-10 18:31:49;24;38.3
2087;2022-03-10 18:36:49;23.9;38.4
2088;2022-03-10 18:41:49;23.9;38.5
2089;2022-03-10 18:46:49;23.8;38.5
2090;2022-03-10 18:51:49;23.8;38.6
2091;2022-03-10 18:56:49;23.6;38.6
2092;2022-03-10 19:01:49;23.6;38.7
2093;2022-03-10 19:06:49;23.6;38.8
2094;2022-03-10 19:11:49;23.6;38.8
2095;2022-03-10 19:16:49;23.6;38.8
2096;2022-03-10 19:21:49;23.6;38.9
2097;2022-03-10 19:26:49;23.5;39
2098;2022-03-10 19:31:49;23.6;39
2099;2022-03-10 19:36:49;23.5;39.1
2100;2022-03-10 19:41:49;23.5;39.2
2101;2022-03-10 19:46:49;23.5;39.3
2102;2022-03-10 19:51:49;23.5;39.3
2103;2022-03-10 19:56:49;23.5;39.3
2104;2022-03-10 20:01:49;23.5;39.3
2105;2022-03-10 20:06:49;23.5;39.4
2106;2022-03-10 20:11:49;23.5;39.5
2107;2022-03-10 20:16:49;23.5;39.5
2108;2022-03-10 20:21:49;23.5;39.6
2109;2022-03-10 20:26:49;23.5;39.7
2110;2022-03-10 20:31:49;23.5;39.8
2111;2022-03-10 20:36:49;23.5;39.9
2112;2022-03-10 20:41:49;23.6;39.9
2113;2022-03-10 20:46:49;23.6;40.2
2114;2022-03-10 20:51:49;23.7;40.6
2115;2022-03-10 20:56:49;23.8;40.8
2116;2022-03-10 21:01:49;23.9;41.1
2117;2022-03-10 21:06:49;23.9;41.4
2118;2022-03-10 21:11:49;24;41.8
2119;2022-03-10 21:16:49;24.1;42
2120;2022-03-10 21:21:49;24.1;42.1
2121;2022-03-10 21:26:49;24.2;42.1
2122;2022-03-10 21:31:49;24.3;42.2
2123;2022-03-10 21:36:49;24.4;42.3
2124;2022-03-10 21:41:49;24.5;42.4
2125;2022-03-10 21:46:49;24.6;42.3
2126;2022-03-10 21:51:49;24.7;42
