RC-4HC Temperature+Humidity Data Logger;;;
User Information;V321;;
Number;00V321;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;1905-10-26 00:00:00;;
Temperature Maximum;26°C;;
Temperature Minimum;19.8°C;;
Temperature Average;21.3°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;49.1%RH;;
Humidity Minimum;35.1%RH;;
Humidity Average;45.6%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-03-03 12:46:49;;
End Time;2022-03-10 21:51:49;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
500;2022-03-05 06:21:49;20.9;48.2
501;2022-03-05 06:26:49;20.9;48.2
502;2022-03-05 06:31:49;20.9;48.2
503;2022-03-05 06:36:49;20.9;48.2
504;2022-03-05 06:41:49;20.9;48.2
505;2022-03-05 06:46:49;20.8;48.3
506;2022-03-05 06:51:49;20.8;48.3
507;2022-03-05 06:56:49;20.8;48.3
508;2022-03-05 07:01:49;20.8;48.3
509;2022-03-05 07:06:49;20.8;48.3
510;2022-03-05 07:11:49;20.8;48.3
511;2022-03-05 07:16:49;20.8;48.3
512;2022-03-05 07:21:49;20.8;48.4
513;2022-03-05 07:26:49;20.8;48.4
514;2022-03-05 07:31:49;20.8;48.4
515;2022-03-05 07:36:49;20.8;48.5
516;2022-03-05 07:41:49;20.8;48.4
517;2022-03-05 07:46:49;20.8;48.5
518;2022-03-05 07:51:49;20.8;48.5
519;2022-03-05 07:56:49;20.8;48.5
520;2022-03-05 08:01:49;20.8;48.5
521;2022-03-05 08:06:49;20.8;48.5
522;2022-03-05 08:11:49;20.8;48.5
523;2022-03-05 08:16:49;20.8;48.5
524;2022-03-05 08:21:49;20.8;48.5
525;2022-03-05 08:26:49;20.8;48.5
526;2022-03-05 08:31:49;20.8;48.5
527;2022-03-05 08:36:49;20.8;48.5
528;2022-03-05 08:41:49;20.8;48.5
529;2022-03-05 08:46:49;20.8;48.5
530;2022-03-05 08:51:49;20.8;48.5
531;2022-03-05 08:56:49;20.8;48.5
532;2022-03-05 09:01:49;20.8;48.6
533;2022-03-05 09:06:49;20.8;48.5
534;2022-03-05 09:11:49;20.8;48.5
535;2022-03-05 09:16:49;20.9;48.5
536;2022-03-05 09:21:49;20.9;48.5
537;2022-03-05 09:26:49;20.9;48.5
538;2022-03-05 09:31:49;20.9;48.5
539;2022-03-05 09:36:49;20.9;48.5
540;2022-03-05 09:41:49;20.9;48.5
541;2022-03-05 09:46:49;20.9;48.5
542;2022-03-05 09:51:49;20.9;48.5
543;2022-03-05 09:56:49;20.9;48.4
544;2022-03-05 10:01:49;21;48.4
545;2022-03-05 10:06:49;21;48.4
546;2022-03-05 10:11:49;21;48.4
547;2022-03-05 10:16:49;21.1;48.3
548;2022-03-05 10:21:49;21.1;48.3
549;2022-03-05 10:26:49;21.2;48.3
