RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data LoggerV342;;
Number;7184200118;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2545;;
Temperature Maximum;24°C;;
Temperature Minimum;14,8°C;;
Temperature Average;17,9°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;63%RH;;
Humidity Minimum;43,3%RH;;
Humidity Average;55,1%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-25 15:42:01;;
End Time;2022-05-04 11:42:01;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
365;2022-04-26 22:02:01;18;59,4
366;2022-04-26 22:07:01;18;59,9
367;2022-04-26 22:12:01;18;59,9
368;2022-04-26 22:17:01;18;59,9
369;2022-04-26 22:22:01;18;59,9
370;2022-04-26 22:27:01;18;59,9
371;2022-04-26 22:32:01;18;59,8
372;2022-04-26 22:37:01;18;59,8
373;2022-04-26 22:42:01;18;59,8
374;2022-04-26 22:47:01;17,9;59,8
375;2022-04-26 22:52:01;17,9;59,8
376;2022-04-26 22:57:01;17,9;59,8
377;2022-04-26 23:02:01;17,9;59,8
378;2022-04-26 23:07:01;17,9;60,3
379;2022-04-26 23:12:01;17,9;60,3
380;2022-04-26 23:17:01;17,8;60,3
381;2022-04-26 23:22:01;17,8;60,3
382;2022-04-26 23:27:01;17,8;60,3
383;2022-04-26 23:32:01;17,8;60,3
384;2022-04-26 23:37:01;17,8;60,3
385;2022-04-26 23:42:01;17,8;60,3
386;2022-04-26 23:47:01;17,8;60,3
387;2022-04-26 23:52:01;17,7;60,3
388;2022-04-26 23:57:01;17,7;60,3
389;2022-04-27 00:02:01;17,7;60,3
390;2022-04-27 00:07:01;17,7;60,3
391;2022-04-27 00:12:01;17,7;60,8
392;2022-04-27 00:17:01;17,7;60,8
