RC-4HC Temperature+Humidity Data Logger;;;;
User Information;RC-4HC Data Logger V556;;;
Number;719AH10153;;;
Interval    ;0:5:0 H:M:S;;;
Delay Time;0.0 H;;;
Data Sum;28/10/1905 0:00;;;
Temperature Maximum;28.5°C;;;
Temperature Minimum;19.3°C;;;
Temperature Average;22.9°C;;;
Temperature Alarm Upper Limit;60.0°C;;;
Temperature Alarm Lower Limit;-30.0°C;;;
Humidity Maximum;49.1%RH;;;
Humidity Minimum;33.4%RH;;;
Humidity Average;43.1%RH;;;
Humidity Alarm Upper Limit;90%RH;;;
Humidity Alarm Lower Limit;20%RH;;;
Start Time;03/03/2022 12:57;;;
End Time;10/03/2022 22:12;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;
Temperature Unit;°C;;;
Number;Time;Temperature°C;Humidity%RH;
337;04/03/2022 16:57;28;40.1;
338;04/03/2022 17:02;28;39.6;
339;04/03/2022 17:07;28;39.6;
340;04/03/2022 17:12;28;39;
341;04/03/2022 17:17;28.1;39;
342;04/03/2022 17:22;28.3;39.1;
343;04/03/2022 17:27;28.4;39.1;
344;04/03/2022 17:32;28.4;39.1;
345;04/03/2022 17:37;28.4;39.1;
346;04/03/2022 17:42;28.3;39.1;
347;04/03/2022 17:47;28.3;39.1;
348;04/03/2022 17:52;28.1;39.1;
349;04/03/2022 17:57;27.9;39;
350;04/03/2022 18:02;27.7;39;
351;04/03/2022 18:07;27.6;39;
352;04/03/2022 18:12;27.5;39;
353;04/03/2022 18:17;27.3;39;
354;04/03/2022 18:22;27.2;39;
355;04/03/2022 18:27;27.1;38.9;
356;04/03/2022 18:32;27;38.9;
357;04/03/2022 18:37;26.9;38.4;
358;04/03/2022 18:42;26.8;37.8;
359;04/03/2022 18:47;26.7;37.8;
360;04/03/2022 18:52;26.6;37.8;
361;04/03/2022 18:57;26.4;36.7;
362;04/03/2022 19:02;26.4;37.8;
363;04/03/2022 19:07;26.2;36.7;
364;04/03/2022 19:12;26.2;36.6;
365;04/03/2022 19:17;26.1;36.6;
366;04/03/2022 19:22;26;36.6;
367;04/03/2022 19:27;25.9;36.6;
368;04/03/2022 19:32;25.8;36.6;
