RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V456;;
Number;7186E00399;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;3427;;
Temperature Maximum;29°C;;
Temperature Minimum;7.5°C;;
Temperature Average;15.9°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;86.1%RH;;
Humidity Minimum;34.6%RH;;
Humidity Average;58.9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2020/09/09 13:00:00;;
End Time;2020/09/11 22:03:00;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
270;2020/09/09 17:29:00;-26,1;82.5
271;2020/09/09 17:30:00;-26,1;82.5
272;2020/09/09 17:31:00;-26,1;82.5
273;2020/09/09 17:32:00;-26,1;82.5
274;2020/09/09 17:33:00;-26,1;81.7
275;2020/09/09 17:34:00;-26,1;82.2
276;2020/09/09 17:35:00;-26;82.2
277;2020/09/09 17:36:00;-25,9;81.4
278;2020/09/09 17:37:00;-25,9;81
279;2020/09/09 17:38:00;-26;80.6
280;2020/09/09 17:39:00;-26;80.6
281;2020/09/09 17:40:00;-26;81
282;2020/09/09 17:41:00;-26,1;80.9
283;2020/09/09 17:42:00;-26,1;80.9
284;2020/09/09 17:43:00;-26,1;80.9
285;2020/09/09 17:44:00;-26,1;80.9
286;2020/09/09 17:45:00;-26,1;80.9
287;2020/09/09 17:46:00;-26,1;80.9
288;2020/09/09 17:47:00;-26,1;81
289;2020/09/09 17:48:00;-26,1;81
290;2020/09/09 17:49:00;-26;80.6
291;2020/09/09 17:50:00;-26;80.2
292;2020/09/09 17:51:00;-26;79.4
293;2020/09/09 17:52:00;-25,9;79.4
294;2020/09/09 17:53:00;-25,9;79.1
295;2020/09/09 17:54:00;-25,8;79.1
296;2020/09/09 17:55:00;-25,8;78.7
297;2020/09/09 17:56:00;-25,7;78.7
298;2020/09/09 17:57:00;-25,7;77.9
299;2020/09/09 17:58:00;-25,6;77.5
300;2020/09/09 17:59:00;-25,6;77.1
301;2020/09/09 18:00:00;-25,5;76.7
302;2020/09/09 18:01:00;-25,5;76.3
303;2020/09/09 18:02:00;-25,5;75.9
304;2020/09/09 18:03:00;-25,4;75.5
305;2020/09/09 18:04:00;-25,4;74.7
306;2020/09/09 18:05:00;-25,3;74.3
307;2020/09/09 18:06:00;-25,3;73.9
308;2020/09/09 18:07:00;-25,3;73
309;2020/09/09 18:08:00;-25,2;73
310;2020/09/09 18:09:00;-25,2;72.2
311;2020/09/09 18:10:00;-25,2;71.3
312;2020/09/09 18:11:00;-25,1;71.3
313;2020/09/09 18:12:00;-25,1;70.9
314;2020/09/09 18:13:00;-25,1;70.4
315;2020/09/09 18:14:00;-25,1;70.4
316;2020/09/09 18:15:00;-25;70
317;2020/09/09 18:16:00;-25;69.6
318;2020/09/09 18:17:00;-25;69.6
319;2020/09/09 18:18:00;-25;69.1
320;2020/09/09 18:19:00;-25,1;69.1
321;2020/09/09 18:20:00;-25,1;68.7
322;2020/09/09 18:21:00;-25,1;68.6
323;2020/09/09 18:22:00;-25,1;68.6
324;2020/09/09 18:23:00;-25,1;68.2
325;2020/09/09 18:24:00;-25,1;68.2
326;2020/09/09 18:25:00;-25,1;68.2
327;2020/09/09 18:26:00;-25,1;68.2
328;2020/09/09 18:27:00;-25,1;68.2
329;2020/09/09 18:28:00;-25,1;68.2
330;2020/09/09 18:29:00;-25,2;67.7
