RC-4HC Temperature+Humidity Data Logger;;;;;
User Information;RC-4HC Data Logger;;;;
Number;V485;;;;
Interval    ;0:5:0 H:M:S;;;;
Delay Time;0,0 H;;;;
Data Sum;2886;;;;
Temperature Maximum;22,5°C;;;;
Temperature Minimum;11,8°C;;;;
Temperature Average;17,3°C;;;;
Temperature Alarm Upper Limit;60,0°C;;;;
Temperature Alarm Lower Limit;-30,0°C;;;;
Humidity Maximum;63,5%RH;;;;
Humidity Minimum;28%RH;;;;
Humidity Average;52,3%RH;;;;
Humidity Alarm Upper Limit;90%RH;;;;
Humidity Alarm Lower Limit;20%RH;;;;
Start Time;2022-05-09 17:01:49;;;;
End Time;2022-05-19 17:26:49;;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;;
Temperature Unit;°C;;;;
Number;Time;Temperature°C;Humidity%RH;;
344;2022-05-10 21:36:49;17,6;54,45;;
345;2022-05-10 21:41:49;17,5;54,45;;
346;2022-05-10 21:46:49;17,5;54,45;;
347;2022-05-10 21:51:49;17,5;54,45;;
348;2022-05-10 21:56:49;17,5;54,7;;
349;2022-05-10 22:01:49;17,5;54,7;;
350;2022-05-10 22:06:49;17,4;54,9;;
351;2022-05-10 22:11:49;17,4;54,95;;
352;2022-05-10 22:16:49;17,35;54,9;;
353;2022-05-10 22:21:49;17,35;54,9;;
354;2022-05-10 22:26:49;17,3;54,9;;
355;2022-05-10 22:31:49;17,3;55,15;;
356;2022-05-10 22:36:49;17,3;55,15;;
357;2022-05-10 22:41:49;17,2;55,4;;
358;2022-05-10 22:46:49;17,2;55,4;;
359;2022-05-10 22:51:49;17,2;55,4;;
360;2022-05-10 22:56:49;17,2;55,4;;
361;2022-05-10 23:01:49;17,15;55,4;;
362;2022-05-10 23:06:49;17,15;55,35;;
363;2022-05-10 23:11:49;17,15;55,35;;
364;2022-05-10 23:16:49;17,1;55,35;;
365;2022-05-10 23:21:49;17,1;55,35;;
366;2022-05-10 23:26:49;17,1;55,35;;
367;2022-05-10 23:31:49;17,05;55,35;;
368;2022-05-10 23:36:49;17,05;55,35;;
369;2022-05-10 23:41:49;17,05;55,35;;
370;2022-05-10 23:46:49;17,05;55,35;;
371;2022-05-10 23:51:49;17;55,35;;
372;2022-05-10 23:56:49;17;55,6;;
373;2022-05-11 00:01:49;16,95;55,85;;
374;2022-05-11 00:06:49;16,9;55,85;;
375;2022-05-11 00:11:49;16,9;55,85;;
376;2022-05-11 00:16:49;16,9;55,8;;
377;2022-05-11 00:21:49;16,9;55,8;;
378;2022-05-11 00:26:49;16,85;55,8;;
379;2022-05-11 00:31:49;16,85;55,8;;
380;2022-05-11 00:36:49;16,8;55,8;;
381;2022-05-11 00:41:49;16,8;56,05;;
382;2022-05-11 00:46:49;16,75;56,05;;
383;2022-05-11 00:51:49;16,75;56,05;;
384;2022-05-11 00:56:49;16,7;56,05;;
385;2022-05-11 01:01:49;16,65;56,05;;
386;2022-05-11 01:06:49;16,65;56,3;;
387;2022-05-11 01:11:49;16,6;56,25;;
388;2022-05-11 01:16:49;16,6;56,25;;
389;2022-05-11 01:21:49;16,6;56,25;;
390;2022-05-11 01:26:49;16,5;56,25;;
391;2022-05-11 01:31:49;16,5;56,25;;
392;2022-05-11 01:36:49;16,5;56,25;;
393;2022-05-11 01:41:49;16,5;56,5;;
394;2022-05-11 01:46:49;16,45;56,5;;
395;2022-05-11 01:51:49;16,45;56,25;;
396;2022-05-11 01:56:49;16,45;56,5;;
397;2022-05-11 02:01:49;16,45;56,5;;
398;2022-05-11 02:06:49;16,45;56,5;;
399;2022-05-11 02:11:49;16,45;56,5;;
400;2022-05-11 02:16:49;16,45;56,5;;
401;2022-05-11 02:21:49;16,45;56,5;;
402;2022-05-11 02:26:49;16,4;56,5;;
403;2022-05-11 02:31:49;16,35;56,5;;
404;2022-05-11 02:36:49;16,35;56,5;;
405;2022-05-11 02:41:49;16,35;56,5;;
406;2022-05-11 02:46:49;16,35;56,7;;
407;2022-05-11 02:51:49;16,35;56,7;;
408;2022-05-11 02:56:49;16,3;56,7;;
409;2022-05-11 03:01:49;16,3;56,7;;
410;2022-05-11 03:06:49;16,25;56,7;;
411;2022-05-11 03:11:49;16,25;56,7;;
