RC-4HC Temperature+Humidity Data Logger;;;;
User Information;RC-4HC Data Logger V550;;;
Number;719AH10086;;;
Interval    ;0:5:0 H:M:S;;;
Delay Time;0,0 H;;;
Data Sum;2876;;;
Temperature Maximum;22,3°C;;;
Temperature Minimum;11,8°C;;;
Temperature Average;17,3°C;;;
Temperature Alarm Upper Limit;60,0°C;;;
Temperature Alarm Lower Limit;-30,0°C;;;
Humidity Maximum;66,4%RH;;;
Humidity Minimum;31,8%RH;;;
Humidity Average;54,9%RH;;;
Humidity Alarm Upper Limit;90%RH;;;
Humidity Alarm Lower Limit;20%RH;;;
Start Time;9/05/2022 11:22;;;
End Time;19/05/2022 11:01;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;
Temperature Unit;°C;;;
Number;Time;Temperature°C;Humidity%RH;l
261;2022-05-10 09:02:53;14,1;61,1;
262;2022-05-10 09:07:53;14,2;61,1;
263;2022-05-10 09:12:53;14,3;61,1;
264;2022-05-10 09:17:53;14,3;61,2;
265;2022-05-10 09:22:53;14,4;61,2;
266;2022-05-10 09:27:53;14,5;61,2;
267;2022-05-10 09:32:53;14,6;61,2;
268;2022-05-10 09:37:53;14,6;61,2;
269;2022-05-10 09:42:53;14,7;61,2;
270;2022-05-10 09:47:53;14,8;61,2;
271;2022-05-10 09:52:53;14,9;61,3;
272;2022-05-10 09:57:53;15,1;61,3;
273;2022-05-10 10:02:53;15,2;60,8;
274;2022-05-10 10:07:53;15,3;60,8;
275;2022-05-10 10:12:53;15,3;60,8;
276;2022-05-10 10:17:53;15,4;60,4;
277;2022-05-10 10:22:53;15,5;59,9;
278;2022-05-10 10:27:53;15,7;60;
279;2022-05-10 10:32:53;15,9;59,5;
280;2022-05-10 10:37:53;15,9;59,5;
281;2022-05-10 10:42:53;16;59,5;
282;2022-05-10 10:47:53;16,1;59,6;
283;2022-05-10 10:52:53;16,2;60,5;
284;2022-05-10 10:57:53;16,3;60;
285;2022-05-10 11:02:53;16,4;60,1;
286;2022-05-10 11:07:53;16,6;59,6;
287;2022-05-10 11:12:53;16,6;59,2;
288;2022-05-10 11:17:53;16,7;58,7;
289;2022-05-10 11:22:53;16,8;58,7;
290;2022-05-10 11:27:53;16,9;58,7;
291;2022-05-10 11:32:53;17,1;58,7;
292;2022-05-10 11:37:53;17,2;58,8;
293;2022-05-10 11:42:53;17,3;58,3;
294;2022-05-10 11:47:53;17,3;57,8;
295;2022-05-10 11:52:53;17,4;57,8;
296;2022-05-10 11:57:53;17,6;57,4;
297;2022-05-10 12:02:53;17,7;57,4;
298;2022-05-10 12:07:53;17,8;56,9;
299;2022-05-10 12:12:53;18;56,5;
300;2022-05-10 12:17:53;18,1;56;
301;2022-05-10 12:22:53;18,2;56;
302;2022-05-10 12:27:53;18,3;55,6;
303;2022-05-10 12:32:53;18,5;55,1;
304;2022-05-10 12:37:53;18,6;54,6;
305;2022-05-10 12:42:53;18,6;54,6;
306;2022-05-10 12:47:53;18,7;54,6;
307;2022-05-10 12:52:53;18,8;54,6;
308;2022-05-10 12:57:53;18,9;53,7;
309;2022-05-10 13:02:53;19;53,7;
310;2022-05-10 13:07:53;19,1;53,7;
311;2022-05-10 13:12:53;19,2;53,2;
312;2022-05-10 13:17:53;19,3;52,7;
313;2022-05-10 13:22:53;19,5;52,2;
314;2022-05-10 13:27:53;19,7;52,3;
315;2022-05-10 13:32:53;19,8;51,8;
316;2022-05-10 13:37:53;19,9;51,3;
317;2022-05-10 13:42:53;20;50,8;
318;2022-05-10 13:47:53;20,2;50,3;
319;2022-05-10 13:52:53;20,3;50,3;
320;2022-05-10 13:57:53;20,4;49,8;
321;2022-05-10 14:02:53;20,4;49,9;
322;2022-05-10 14:07:53;20,5;49,4;
323;2022-05-10 14:12:53;20,6;48,9;
324;2022-05-10 14:17:53;20,7;48,4;
325;2022-05-10 14:22:53;20,8;47,8;
326;2022-05-10 14:27:53;20,9;47,9;
327;2022-05-10 14:32:53;20,9;47,3;
328;2022-05-10 14:37:53;21;47,4;
329;2022-05-10 14:42:53;21,1;47,4;
330;2022-05-10 14:47:53;21,2;47,4;
331;2022-05-10 14:52:53;21,2;47,4;
332;2022-05-10 14:57:53;21,3;46,9;
333;2022-05-10 15:02:53;21,4;46,9;
334;2022-05-10 15:07:53;21,5;46,9;
335;2022-05-10 15:12:53;21,5;46,9;
336;2022-05-10 15:17:53;21,5;46,9;
337;2022-05-10 15:22:53;21,5;46,9;
338;2022-05-10 15:27:53;21,6;46,4;
339;2022-05-10 15:32:53;21,6;46,4;
340;2022-05-10 15:37:53;21,6;45,9;
341;2022-05-10 15:42:53;21,7;46,4;
342;2022-05-10 15:47:53;21,7;45,9;
343;2022-05-10 15:52:53;21,6;45,9;
344;2022-05-10 15:57:53;21,6;46,4;
345;2022-05-10 16:02:53;21,6;46,4;
346;2022-05-10 16:07:53;21,5;46,4;
347;2022-05-10 16:12:53;21,5;46,4;
348;2022-05-10 16:17:53;21,5;46,9;
349;2022-05-10 16:22:53;21,5;46,9;
350;2022-05-10 16:27:53;21,5;46,9;
351;2022-05-10 16:32:53;21,4;46,9;
352;2022-05-10 16:37:53;21,4;46,9;
353;2022-05-10 16:42:53;21,3;46,9;
354;2022-05-10 16:47:53;21,3;46,9;
355;2022-05-10 16:52:53;21,3;46,9;
356;2022-05-10 16:57:53;21,2;47,4;
357;2022-05-10 17:02:53;21,2;47,4;
358;2022-05-10 17:07:53;21,1;47,4;
359;2022-05-10 17:12:53;21;47,4;
360;2022-05-10 17:17:53;21;47,9;
361;2022-05-10 17:22:53;20,9;47,9;
362;2022-05-10 17:27:53;20,9;47,9;
363;2022-05-10 17:32:53;20,8;47,8;
364;2022-05-10 17:37:53;20,8;47,8;
365;2022-05-10 17:42:53;20,7;48,3;
366;2022-05-10 17:47:53;20,6;48,3;
367;2022-05-10 17:52:53;20,5;48,8;
368;2022-05-10 17:57:53;20,4;48,8;
369;2022-05-10 18:02:53;20,4;48,8;
370;2022-05-10 18:07:53;20,2;49,3;
371;2022-05-10 18:12:53;20,1;49,3;
372;2022-05-10 18:17:53;20;49,8;
373;2022-05-10 18:22:53;19,9;49,8;
374;2022-05-10 18:27:53;19,8;49,8;
375;2022-05-10 18:32:53;19,7;50,3;
376;2022-05-10 18:37:53;19,6;50,7;
377;2022-05-10 18:42:53;19,5;50,7;
378;2022-05-10 18:47:53;19,4;50,7;
379;2022-05-10 18:52:53;19,3;51,2;
380;2022-05-10 18:57:53;19,2;51,7;
381;2022-05-10 19:02:53;19,2;51,7;
382;2022-05-10 19:07:53;19,1;51,7;
383;2022-05-10 19:12:53;19;51,7;
384;2022-05-10 19:17:53;18,9;52,2;
385;2022-05-10 19:22:53;18,8;52,7;
386;2022-05-10 19:27:53;18,7;52,6;
387;2022-05-10 19:32:53;18,7;52,6;
388;2022-05-10 19:37:53;18,6;52,6;
389;2022-05-10 19:42:53;18,6;53,1;
390;2022-05-10 19:47:53;18,6;53,6;
391;2022-05-10 19:52:53;18,5;53,6;
392;2022-05-10 19:57:53;18,4;53,6;
393;2022-05-10 20:02:53;18,4;54,1;
394;2022-05-10 20:07:53;18,3;54,1;
395;2022-05-10 20:12:53;18,3;54,1;
396;2022-05-10 20:17:53;18,2;54,6;
397;2022-05-10 20:22:53;18,2;54,5;
