;1;2;3;4;5;6;7;8;9;10;11
;Sonda 1 BC 2;Sonda 3 BC 2;Sonda 2 BC 2;Sonda 1 9F 3;Sonda 2 9F 3;Sonda 3 9F 3;Sonda 4 BC 2;Sonda 4 146 1;Sonda 1 146 1;Sonda 3 146 1;Sonda 2 146 1
04-03-2021 7:49;-74,16;-74,94;-76,89;-79,22;-79,03;-79,22;-76,3;-78,05;-75,14;-74,75;-75,53
04-03-2021 7:50;-74,16;-74,94;-76,89;-79,22;-79,22;-79,42;-76,3;-78,25;-75,14;-75,14;-75,91
04-03-2021 7:51;-74,16;-75,14;-76,89;-79,42;-79,42;-79,22;-76,5;-78,44;-75,33;-75,33;-76,3
04-03-2021 7:52;-74,36;-75,14;-77,08;-79,42;-79,22;-79,22;-76,5;-78,25;-75,33;-75,53;-76,3
04-03-2021 7:53;-74,55;-75,14;-76,89;-79,42;-79,61;-79,42;-76,5;-78,64;-75,53;-75,53;-76,69
04-03-2021 7:54;-74,75;-75,33;-77,08;-79,61;-79,42;-79,81;-76,5;-78,05;-75,91;-75,53;-76,3
04-03-2021 7:55;-74,75;-75,33;-77,08;-79,42;-79,61;-79,81;-76,5;-78,44;-75,72;-75,53;-76,69
04-03-2021 7:56;-74,75;-75,33;-77,08;-79,61;-79,61;-79,81;-76,5;-78,05;-75,53;-75,72;-76,69
04-03-2021 7:57;-74,94;-75,33;-76,89;-79,61;-79,61;-79,98;-76,69;-78,64;-75,53;-75,72;-76,11
04-03-2021 7:58;-74,94;-75,33;-77,08;-79,81;-79,61;-79,98;-76,69;-78,05;-75,53;-75,33;-76,11
04-03-2021 7:59;-75,14;-75,53;-77,08;-79,98;-79,98;-79,98;-76,5;-78,25;-75,53;-75,33;-76,11
04-03-2021 8:00;-74,94;-75,53;-77,08;-79,81;-79,98;-80,17;-76,69;-78,83;-75,53;-75,33;-76,5
04-03-2021 8:01;-75,33;-75,53;-77,08;-79,81;-79,81;-79,98;-76,69;-78,25;-75,33;-75,33;-76,3
04-03-2021 8:02;-75,33;-75,72;-77,08;-79,81;-79,81;-80,36;-76,89;-78,64;-75,33;-75,14;-75,72
04-03-2021 8:03;-75,53;-75,72;-77,08;-79,81;-79,81;-80,17;-77,08;-78,44;-75,53;-75,14;-75,91
04-03-2021 8:04;-75,33;-75,72;-77,08;-79,98;-79,81;-80,17;-76,89;-78,44;-75,33;-75,14;-75,91
04-03-2021 8:05;-75,14;-75,72;-77,08;-79,81;-79,81;-80,17;-76,89;-78,44;-75,33;-74,94;-75,91
04-03-2021 8:06;-74,94;-75,72;-77,08;-79,61;-79,61;-79,98;-76,69;-78,44;-75,14;-74,94;-75,91
04-03-2021 8:07;-74,94;-75,53;-77,08;-79,61;-79,61;-79,98;-76,69;-78,25;-74,94;-74,75;-75,72
04-03-2021 8:08;-74,75;-75,53;-77,08;-79,42;-79,61;-79,98;-76,69;-78,25;-74,94;-74,75;-75,53
04-03-2021 8:09;-74,55;-75,33;-77,08;-79,42;-79,42;-79,81;-76,5;-78,25;-74,75;-74,55;-75,53
04-03-2021 8:11;-74,16;-75,14;-76,89;-79,22;-79,42;-79,61;-76,5;-78,25;-74,75;-74,55;-75,33
04-03-2021 8:12;-74,36;-75,14;-76,89;-79,22;-79,22;-79,61;-76,3;-78,64;-74,75;-74,36;-75,33
04-03-2021 8:13;-74,16;-75,14;-77,08;-79,22;-79,22;-79,42;-76,3;-77,86;-74,55;-74,36;-75,14
04-03-2021 8:14;-74,16;-74,94;-76,89;-79,22;-79,22;-79,61;-76,3;-78,64;-74,55;-74,16;-75,33
04-03-2021 8:15;-74,16;-74,94;-76,89;-79,22;-79,22;-79,22;-76,3;-78,25;-74,75;-74,16;-75,53
04-03-2021 8:16;-74,16;-74,94;-77,08;-79,03;-79,03;-79,42;-76,3;-78,44;-74,75;-74,75;-75,72
04-03-2021 8:17;-74,16;-75,14;-77,08;-79,03;-79,42;-79,22;-76,3;-78,25;-75,33;-74,94;-75,91
04-03-2021 8:18;-74,36;-75,14;-77,08;-79,22;-79,22;-79,03;-76,5;-78,64;-75,53;-75,33;-76,5
04-03-2021 8:19;-74,36;-75,14;-76,89;-79,42;-79,22;-79,42;-76,5;-78,44;-75,53;-75,53;-76,69
04-03-2021 8:20;-74,55;-75,33;-76,89;-79,42;-79,42;-79,42;-76,5;-78,05;-75,53;-75,53;-76,3
04-03-2021 8:21;-74,75;-75,33;-77,08;-79,61;-79,42;-79,42;-76,5;-78,25;-75,72;-75,53;-76,3
04-03-2021 8:23;-74,75;-75,33;-77,08;-79,22;-79,61;-79,61;-76,5;-78,64;-75,72;-75,53;-76,3
04-03-2021 8:24;-74,94;-75,33;-77,08;-79,81;-79,42;-79,61;-76,5;-78,25;-75,53;-75,33;-76,11
04-03-2021 8:25;-74,94;-75,53;-77,08;-79,61;-79,42;-79,98;-76,5;-78,05;-75,53;-75,53;-76,3
04-03-2021 8:26;-75,14;-75,53;-77,08;-79,61;-79,81;-79,98;-76,5;-78,25;-75,14;-75,33;-75,91
04-03-2021 8:27;-75,14;-75,53;-77,08;-79,81;-79,81;-80,17;-76,5;-78,44;-75,72;-75,14;-75,72
04-03-2021 8:28;-75,33;-75,53;-77,08;-79,81;-79,61;-79,98;-76,69;-78,83;-75,53;-75,33;-75,91
04-03-2021 8:29;-75,33;-75,72;-77,08;-79,81;-79,81;-79,98;-76,69;-78,25;-75,33;-75,14;-76,11
04-03-2021 8:30;-75,33;-75,72;-77,08;-79,98;-79,81;-79,98;-76,89;-79,03;-75,33;-75,33;-75,91
04-03-2021 8:31;-75,33;-75,72;-77,08;-79,98;-79,98;-80,17;-76,89;-78,44;-75,33;-75,14;-75,91
04-03-2021 8:32;-75,33;-75,72;-77,08;-79,81;-79,98;-80,36;-76,89;-78,44;-75,53;-75,14;-75,91
04-03-2021 8:33;-75,14;-75,72;-77,08;-79,81;-79,81;-80,17;-76,69;-78,44;-75,33;-74,94;-75,91
04-03-2021 8:34;-74,94;-75,72;-77,08;-79,81;-79,81;-80,17;-76,69;-78,44;-75,14;-74,94;-75,72
04-03-2021 8:35;-74,75;-75,53;-77,08;-79,61;-79,61;-79,98;-76,69;-78,44;-75,14;-74,75;-75,72
04-03-2021 8:36;-74,55;-75,33;-77,08;-79,61;-79,61;-79,98;-76,5;-78,25;-74,94;-74,75;-75,53
04-03-2021 8:37;-74,55;-75,33;-77,08;-79,42;-79,42;-79,81;-76,5;-78,25;-74,94;-74,55;-75,53
04-03-2021 8:38;-74,36;-75,14;-77,08;-79,42;-79,42;-79,81;-76,5;-78,25;-74,75;-74,55;-75,33
04-03-2021 8:39;-74,16;-75,14;-76,89;-79,03;-79,42;-79,61;-76,3;-78,25;-74,55;-74,36;-75,33
04-03-2021 8:40;-74,16;-74,94;-76,89;-79,42;-79,03;-79,61;-76,3;-78,44;-74,75;-74,36;-75,33
04-03-2021 8:41;-74,16;-74,94;-77,08;-79,03;-79,22;-79,42;-76,3;-78,83;-74,55;-74,36;-75,33
