RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V400;;
Number;7184200157;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2655;;
Temperature Maximum;22,7°C;;
Temperature Minimum;11,8°C;;
Temperature Average;16,3°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;69,1%RH;;
Humidity Minimum;48,7%RH;;
Humidity Average;60,9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-23 10:17:23;;
End Time;2022-05-02 15:27:23;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
199;2022-04-24 02:47:23;16,1;60,1
200;2022-04-24 02:52:23;16;60,1
201;2022-04-24 02:57:23;16;60
202;2022-04-24 03:02:23;16;60,5
203;2022-04-24 03:07:23;16;60,5
204;2022-04-24 03:12:23;15,9;60,5
205;2022-04-24 03:17:23;15,9;60,5
206;2022-04-24 03:22:23;15,8;60,5
207;2022-04-24 03:27:23;15,8;60,5
208;2022-04-24 03:32:23;15,8;61
209;2022-04-24 03:37:23;15,7;60,9
210;2022-04-24 03:42:23;15,7;60,9
211;2022-04-24 03:47:23;15,6;60,9
212;2022-04-24 03:52:23;15,6;60,9
213;2022-04-24 03:57:23;15,5;60,9
214;2022-04-24 04:02:23;15,5;60,9
215;2022-04-24 04:07:23;15,5;60,9
216;2022-04-24 04:12:23;15,4;60,9
217;2022-04-24 04:17:23;15,4;60,9
218;2022-04-24 04:22:23;15,4;60,9
219;2022-04-24 04:27:23;15,4;60,9
220;2022-04-24 04:32:23;15,3;60,9
221;2022-04-24 04:37:23;15,3;60,9
222;2022-04-24 04:42:23;15,3;60,9
223;2022-04-24 04:47:23;15,2;60,9
224;2022-04-24 04:52:23;15,2;60,9
225;2022-04-24 04:57:23;15,2;60,9
226;2022-04-24 05:02:23;15,2;60,9
227;2022-04-24 05:07:23;15,2;60,9
228;2022-04-24 05:12:23;15,1;60,9
229;2022-04-24 05:17:23;15,1;60,9
230;2022-04-24 05:22:23;15,1;60,8
231;2022-04-24 05:27:23;15;60,8
232;2022-04-24 05:32:23;15;60,8
233;2022-04-24 05:37:23;15;60,8
234;2022-04-24 05:42:23;14,9;60,8
235;2022-04-24 05:47:23;14,9;60,8
236;2022-04-24 05:52:23;14,8;60,8
237;2022-04-24 05:57:23;14,8;61,3
238;2022-04-24 06:02:23;14,8;61,3
239;2022-04-24 06:07:23;14,7;61,3
240;2022-04-24 06:12:23;14,7;60,8
241;2022-04-24 06:17:23;14,7;60,8
242;2022-04-24 06:22:23;14,6;60,8
243;2022-04-24 06:27:23;14,6;60,8
244;2022-04-24 06:32:23;14,6;60,8
245;2022-04-24 06:37:23;14,6;60,8
246;2022-04-24 06:42:23;14,6;60,8
247;2022-04-24 06:47:23;14,6;60,8
248;2022-04-24 06:52:23;14,5;60,8
249;2022-04-24 06:57:23;14,5;60,8
250;2022-04-24 07:02:23;14,5;60,8
251;2022-04-24 07:07:23;14,5;60,7
252;2022-04-24 07:12:23;14,4;60,7
253;2022-04-24 07:17:23;14,4;60,7
254;2022-04-24 07:22:23;14,4;60,7
255;2022-04-24 07:27:23;14,4;60,7
256;2022-04-24 07:32:23;14,4;60,7
257;2022-04-24 07:37:23;14,4;60,7
258;2022-04-24 07:42:23;14,3;60,7
259;2022-04-24 07:47:23;14,3;61,2
260;2022-04-24 07:52:23;14,3;60,7
261;2022-04-24 07:57:23;14,4;60,7
262;2022-04-24 08:02:23;14,4;60,7
263;2022-04-24 08:07:23;14,5;60,7
264;2022-04-24 08:12:23;14,5;60,8
265;2022-04-24 08:17:23;14,6;60,8
266;2022-04-24 08:22:23;14,6;60,8
267;2022-04-24 08:27:23;14,7;60,3
268;2022-04-24 08:32:23;14,7;60,3
269;2022-04-24 08:37:23;14,7;60,3
270;2022-04-24 08:42:23;14,8;60,3
271;2022-04-24 08:47:23;14,9;60,3
272;2022-04-24 08:52:23;15;59,9
273;2022-04-24 08:57:23;15,1;59,9
274;2022-04-24 09:02:23;15,1;59,9
275;2022-04-24 09:07:23;15,2;59,9
276;2022-04-24 09:12:23;15,3;59,9
277;2022-04-24 09:17:23;15,4;60
278;2022-04-24 09:22:23;15,5;60
279;2022-04-24 09:27:23;15,6;60
280;2022-04-24 09:32:23;15,8;59,5
281;2022-04-24 09:37:23;15,9;60
282;2022-04-24 09:42:23;16;60
283;2022-04-24 09:47:23;16,1;60,1
284;2022-04-24 09:52:23;16,3;59,6
285;2022-04-24 09:57:23;16,4;59,6
286;2022-04-24 10:02:23;16,5;59,6
287;2022-04-24 10:07:23;16,6;59,7
288;2022-04-24 10:12:23;16,7;59,2
289;2022-04-24 10:17:23;16,7;59,2
290;2022-04-24 10:22:23;16,7;59,2
291;2022-04-24 10:27:23;16,8;59,2
292;2022-04-24 10:32:23;16,9;59,2
293;2022-04-24 10:37:23;16,9;59,2
