RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V501;;
Number;719AH10181;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3603;;
Temperature Maximum;24,4°C;;
Temperature Minimum;11,8°C;;
Temperature Average;16,4°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;70,4%RH;;
Humidity Minimum;47,5%RH;;
Humidity Average;57,9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;16/5/2022 09:48;;
End Time;28/5/2022 21:58;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
322;2022-05-17 12:33:28;16,2;53,3
323;2022-05-17 12:38:28;16,3;53,3
324;2022-05-17 12:43:28;16,4;53,3
325;2022-05-17 12:48:28;16,5;53,4
326;2022-05-17 12:53:28;16,6;53,4
327;2022-05-17 12:58:28;16,7;52,4
328;2022-05-17 13:03:28;16,9;51,9
329;2022-05-17 13:08:28;17;51,9
330;2022-05-17 13:13:28;17,1;52,5
331;2022-05-17 13:18:28;17,3;52,5
332;2022-05-17 13:23:28;17,4;52,5
333;2022-05-17 13:28:28;17,4;52,5
334;2022-05-17 13:33:28;17,5;52,5
335;2022-05-17 13:38:28;17,6;52,5
336;2022-05-17 13:43:28;17,7;52,5
337;2022-05-17 13:48:28;17,8;52,5
338;2022-05-17 13:53:28;17,9;52,1
339;2022-05-17 13:58:28;17,9;52,6
340;2022-05-17 14:03:28;18;52,1
341;2022-05-17 14:08:28;18;51,6
342;2022-05-17 14:13:28;18;51,6
343;2022-05-17 14:18:28;18,1;51,6
344;2022-05-17 14:23:28;18,1;51,6
345;2022-05-17 14:28:28;18,2;51,6
346;2022-05-17 14:33:28;18,3;51,6
347;2022-05-17 14:38:28;18,3;50,6
348;2022-05-17 14:43:28;18,4;51,1
349;2022-05-17 14:48:28;18,4;51,1
350;2022-05-17 14:53:28;18,5;51,1
351;2022-05-17 14:58:28;18,5;51,1
352;2022-05-17 15:03:28;18,5;51,1
353;2022-05-17 15:08:28;18,6;51,1
354;2022-05-17 15:13:28;18,6;51,1
355;2022-05-17 15:18:28;18,6;51,1
356;2022-05-17 15:23:28;18,6;51,1
357;2022-05-17 15:28:28;18,6;51,2
358;2022-05-17 15:33:28;18,6;51,2
359;2022-05-17 15:38:28;18,6;51,7
360;2022-05-17 15:43:28;18,6;51,2
361;2022-05-17 15:48:28;18,6;51,2
362;2022-05-17 15:53:28;18,6;51,2
363;2022-05-17 15:58:28;18,7;51,2
364;2022-05-17 16:03:28;18,7;51,2
365;2022-05-17 16:08:28;18,7;51,2
366;2022-05-17 16:13:28;18,6;51,2
367;2022-05-17 16:18:28;18,6;51,2
368;2022-05-17 16:23:28;18,6;51,2
369;2022-05-17 16:28:28;18,6;50,7
370;2022-05-17 16:33:28;18,6;51,1
371;2022-05-17 16:38:28;18,6;51,1
372;2022-05-17 16:43:28;18,6;51,1
373;2022-05-17 16:48:28;18,5;51,1
374;2022-05-17 16:53:28;18,5;51,1
375;2022-05-17 16:58:28;18,5;51,1
376;2022-05-17 17:03:28;18,4;51,6
377;2022-05-17 17:08:28;18,3;51,1
378;2022-05-17 17:13:28;18,3;51,6
379;2022-05-17 17:18:28;18,2;51,6
380;2022-05-17 17:23:28;18,1;51,6
381;2022-05-17 17:28:28;18,1;51,6
382;2022-05-17 17:33:28;18;51,6
383;2022-05-17 17:38:28;18;52,1
384;2022-05-17 17:43:28;17,9;52,1
385;2022-05-17 17:48:28;17,8;52,5
386;2022-05-17 17:53:28;17,7;52,5
387;2022-05-17 17:58:28;17,5;52,5
388;2022-05-17 18:03:28;17,4;52,5
389;2022-05-17 18:08:28;17,4;52,5
390;2022-05-17 18:13:28;17,2;52,5
391;2022-05-17 18:18:28;17,1;52,5
392;2022-05-17 18:23:28;17;52,9
393;2022-05-17 18:28:28;16,9;52,9
394;2022-05-17 18:33:28;16,7;52,9
395;2022-05-17 18:38:28;16,7;53,4
396;2022-05-17 18:43:28;16,6;53,4
397;2022-05-17 18:48:28;16,5;53,8
398;2022-05-17 18:53:28;16,4;53,8
399;2022-05-17 18:58:28;16,3;53,8
400;2022-05-17 19:03:28;16,2;54,3
401;2022-05-17 19:08:28;16,1;54,3
402;2022-05-17 19:13:28;16;54,3
403;2022-05-17 19:18:28;15,9;54,3
404;2022-05-17 19:23:28;15,9;54,7
405;2022-05-17 19:28:28;15,8;54,7
406;2022-05-17 19:33:28;15,7;54,7
407;2022-05-17 19:38:28;15,6;55,2
408;2022-05-17 19:43:28;15,5;55,2
409;2022-05-17 19:48:28;15,4;55,2
410;2022-05-17 19:53:28;15,4;55,2
411;2022-05-17 19:58:28;15,4;55,6
412;2022-05-17 20:03:28;15,3;55,6
413;2022-05-17 20:08:28;15,2;55,6
414;2022-05-17 20:13:28;15,1;55,6
415;2022-05-17 20:18:28;15,1;56,1
416;2022-05-17 20:23:28;15;56,1
417;2022-05-17 20:28:28;14,9;56,1
418;2022-05-17 20:33:28;14,9;56,1
419;2022-05-17 20:38:28;14,8;56,1
420;2022-05-17 20:43:28;14,8;56
421;2022-05-17 20:48:28;14,7;56
422;2022-05-17 20:53:28;14,7;56,5
423;2022-05-17 20:58:28;14,7;56,5
424;2022-05-17 21:03:28;14,6;56,5
425;2022-05-17 21:08:28;14,5;56,5
426;2022-05-17 21:13:28;14,5;56,5
427;2022-05-17 21:18:28;14,4;56,5
428;2022-05-17 21:23:28;14,4;56,9
429;2022-05-17 21:28:28;14,3;56,5
430;2022-05-17 21:33:28;14,3;56,9
431;2022-05-17 21:38:28;14,2;56,9
432;2022-05-17 21:43:28;14,2;56,9
433;2022-05-17 21:48:28;14,1;56,9
434;2022-05-17 21:53:28;14,1;56,9
435;2022-05-17 21:58:28;14,1;56,9
436;2022-05-17 22:03:28;14;56,9
437;2022-05-17 22:08:28;14;56,9
438;2022-05-17 22:13:28;14;56,9
439;2022-05-17 22:18:28;14;56,9
440;2022-05-17 22:23:28;13,9;56,4
441;2022-05-17 22:28:28;13,9;56,9
442;2022-05-17 22:33:28;13,9;56,9
443;2022-05-17 22:38:28;13,8;56,4
444;2022-05-17 22:43:28;13,8;56,9
445;2022-05-17 22:48:28;13,8;56,9
446;2022-05-17 22:53:28;13,7;56,8
447;2022-05-17 22:58:28;13,7;56,8
448;2022-05-17 23:03:28;13,7;56,8
449;2022-05-17 23:08:28;13,6;56,8
450;2022-05-17 23:13:28;13,6;56,8
451;2022-05-17 23:18:28;13,6;56,8
452;2022-05-17 23:23:28;13,6;56,8
453;2022-05-17 23:28:28;13,5;56,8
454;2022-05-17 23:33:28;13,5;56,8
455;2022-05-17 23:38:28;13,5;56,8
456;2022-05-17 23:43:28;13,5;56,8
457;2022-05-17 23:48:28;13,4;56,8
458;2022-05-17 23:53:28;13,4;56,8
459;2022-05-17 23:58:28;13,4;56,8
460;2022-05-18 00:03:28;13,4;56,8
461;2022-05-18 00:08:28;13,4;56,8
462;2022-05-18 00:13:28;13,4;56,8
463;2022-05-18 00:18:28;13,4;56,8
464;2022-05-18 00:23:28;13,4;56,8
465;2022-05-18 00:28:28;13,3;56,8
466;2022-05-18 00:33:28;13,3;56,8
467;2022-05-18 00:38:28;13,3;56,8
468;2022-05-18 00:43:28;13,3;56,8
469;2022-05-18 00:48:28;13,3;56,8
470;2022-05-18 00:53:28;13,2;56,8
471;2022-05-18 00:58:28;13,2;56,8
472;2022-05-18 01:03:28;13,2;56,8
473;2022-05-18 01:08:28;13,2;56,8
474;2022-05-18 01:13:28;13,2;56,8
475;2022-05-18 01:18:28;13,1;56,8
476;2022-05-18 01:23:28;13,1;56,8
477;2022-05-18 01:28:28;13,1;56,8
478;2022-05-18 01:33:28;13,1;56,8
479;2022-05-18 01:38:28;13,1;56,8
480;2022-05-18 01:43:28;13;56,7
481;2022-05-18 01:48:28;13;56,7
482;2022-05-18 01:53:28;13;56,7
483;2022-05-18 01:58:28;13;56,7
484;2022-05-18 02:03:28;13;56,7
485;2022-05-18 02:08:28;12,9;56,2
486;2022-05-18 02:13:28;12,9;56,2
487;2022-05-18 02:18:28;12,9;56,2
488;2022-05-18 02:23:28;12,9;56,2
489;2022-05-18 02:28:28;12,8;56,2
490;2022-05-18 02:33:28;12,8;56,2
491;2022-05-18 02:38:28;12,8;56,2
492;2022-05-18 02:43:28;12,8;56,2
493;2022-05-18 02:48:28;12,7;56,2
494;2022-05-18 02:53:28;12,7;56,2
495;2022-05-18 02:58:28;12,7;56,2
496;2022-05-18 03:03:28;12,7;55,7
497;2022-05-18 03:08:28;12,7;55,7
498;2022-05-18 03:13:28;12,7;55,7
499;2022-05-18 03:18:28;12,7;55,7
500;2022-05-18 03:23:28;12,7;55,7
501;2022-05-18 03:28:28;12,7;55,7
502;2022-05-18 03:33:28;12,7;55,7
503;2022-05-18 03:38:28;12,6;55,7
504;2022-05-18 03:43:28;12,6;55,7
505;2022-05-18 03:48:28;12,6;55,7
506;2022-05-18 03:53:28;12,6;55,7
507;2022-05-18 03:58:28;12,6;55,7
508;2022-05-18 04:03:28;12,5;55,7
509;2022-05-18 04:08:28;12,5;55,7
510;2022-05-18 04:13:28;12,5;55,7
511;2022-05-18 04:18:28;12,5;55,7
512;2022-05-18 04:23:28;12,5;55,7
513;2022-05-18 04:28:28;12,5;55,2
514;2022-05-18 04:33:28;12,4;55,2
515;2022-05-18 04:38:28;12,4;55,2
516;2022-05-18 04:43:28;12,4;55,2
517;2022-05-18 04:48:28;12,4;55,2
518;2022-05-18 04:53:28;12,4;55,2
519;2022-05-18 04:58:28;12,3;55,2
520;2022-05-18 05:03:28;12,3;55,2
521;2022-05-18 05:08:28;12,3;55,2
522;2022-05-18 05:13:28;12,3;54,7
523;2022-05-18 05:18:28;12,3;54,7
524;2022-05-18 05:23:28;12,2;54,7
525;2022-05-18 05:28:28;12,2;54,7
526;2022-05-18 05:33:28;12,2;54,7
527;2022-05-18 05:38:28;12,2;54,7
528;2022-05-18 05:43:28;12,1;54,7
529;2022-05-18 05:48:28;12,1;54,7
530;2022-05-18 05:53:28;12,1;54,7
531;2022-05-18 05:58:28;12,1;54,7
532;2022-05-18 06:03:28;12,1;54,7
533;2022-05-18 06:08:28;12,1;54,7
534;2022-05-18 06:13:28;12;54,7
